account_age_months,monthly_charges,subscription_tier,support_calls,reported_issues,inactive_days,usage_decline,competitor_offer,promotion_response,contract_type,payment_method,online_security,tech_support,churn
34,86.15,1,4,4,19,17.4,1,1,0,2,0,1,1
33,55.69,2,5,3,13,13.8,0,0,0,3,1,0,0
26,69.8,3,6,2,14,13.4,1,0,1,2,0,0,0
36,80.86,2,7,3,10,10.7,0,0,0,1,0,0,0
26,58.38,2,6,4,12,18.0,0,1,1,0,0,1,0
34,89.0,2,7,2,6,11.1,0,0,0,3,0,0,0
21,61.7,3,5,3,14,14.4,0,1,0,2,1,0,0
39,71.47,1,6,2,16,11.4,1,1,1,3,1,0,0
29,65.34,3,6,3,17,20.8,1,0,0,0,0,1,0
27,69.23,2,3,1,13,11.8,1,0,0,0,0,1,0
34,84.55,1,4,3,16,21.3,1,0,1,1,1,1,1
49,72.86,1,2,2,11,5.9,1,1,0,0,1,0,1
15,60.63,3,5,3,15,4.2,0,0,1,3,1,1,0
30,55.65,2,5,3,17,16.4,0,1,0,1,1,0,0
21,62.06,3,7,3,16,12.4,0,1,2,0,0,0,0
39,53.28,3,6,3,16,21.4,0,1,1,3,1,0,0
38,59.33,3,6,3,17,28.6,1,0,0,1,0,1,0
22,62.79,3,5,2,15,15.5,1,1,0,0,0,0,0
26,60.89,3,7,3,15,13.1,0,0,1,0,1,1,0
31,83.73,1,6,3,19,3.3,0,0,0,0,1,1,1
36,78.47,2,5,2,11,16.5,1,0,0,3,0,1,1
35,73.69,1,3,3,17,9.7,1,0,0,0,0,0,1
26,55.01,2,3,2,23,25.1,0,1,0,0,0,0,0
28,59.63,2,6,2,18,23.4,1,0,1,0,0,1,0
30,58.71,3,5,2,9,18.0,0,0,0,1,0,0,0
35,80.34,2,5,2,22,16.8,1,1,0,1,0,0,1
34,87.11,1,6,2,17,6.5,0,0,0,2,0,0,0
35,39.08,3,4,2,21,28.6,1,0,0,0,1,1,0
30,70.69,3,7,2,14,9.7,0,1,2,0,0,0,0
25,52.06,3,4,3,11,15.0,0,1,2,0,1,1,1
33,56.43,3,7,3,15,20.0,0,0,1,2,0,0,0
31,58.77,3,6,3,17,25.9,1,1,0,3,1,1,0
19,82.4,2,7,2,13,9.4,0,0,1,0,0,1,0
29,54.51,3,4,2,15,13.0,0,0,1,2,1,0,0
29,88.65,1,4,4,14,22.3,1,0,1,2,0,0,1
28,71.13,2,6,3,14,12.2,1,0,0,0,1,1,0
36,62.52,1,4,3,16,13.2,1,0,0,3,1,1,1
35,86.85,1,4,3,17,33.0,1,1,1,0,0,0,1
33,61.35,1,4,2,17,13.0,0,0,0,2,0,0,0
39,62.83,1,4,3,13,17.8,1,0,1,0,1,1,0
40,74.8,1,5,2,19,17.8,1,1,1,3,1,1,1
36,78.02,1,4,3,16,15.5,1,0,0,2,1,1,1
30,78.27,1,4,2,18,6.9,1,0,2,2,1,0,1
40,68.86,2,5,2,17,22.6,1,1,0,0,1,1,0
38,97.28,1,2,4,14,15.5,1,1,2,0,0,1,1
33,52.67,3,6,3,16,27.9,1,1,0,2,1,0,0
45,65.46,1,2,2,14,0.3,1,0,1,0,1,1,1
36,67.0,2,5,3,8,19.8,1,1,1,3,1,1,0
39,83.21,1,1,2,18,25.7,1,0,2,2,0,1,1
37,82.62,1,4,3,17,15.2,0,1,2,3,1,0,1
44,77.61,2,5,2,16,13.3,0,1,0,3,0,0,1
37,56.95,2,5,2,9,20.4,1,0,0,3,0,0,1
40,69.7,1,2,2,14,17.2,1,0,0,2,0,1,1
18,81.44,2,6,2,13,10.8,0,0,0,1,0,0,0
35,83.63,2,6,3,16,28.1,1,1,1,0,1,0,1
29,81.88,2,6,2,13,15.3,1,1,0,3,0,1,0
23,77.51,3,7,3,12,8.2,0,0,1,0,0,0,0
32,77.15,2,7,3,13,16.4,0,1,0,3,1,0,0
20,83.23,3,6,2,18,16.6,0,0,0,0,0,1,0
20,77.61,3,6,3,15,3.1,0,1,2,3,0,0,0
32,82.75,1,5,2,12,7.9,1,0,1,0,1,0,0
22,67.68,3,6,2,13,19.5,1,1,0,0,0,1,0
39,66.55,2,5,2,10,18.4,0,1,0,3,0,1,0
27,75.85,3,7,2,8,12.5,1,0,1,0,0,0,1
13,93.54,3,8,3,16,2.9,0,0,0,0,0,0,0
39,85.76,1,5,2,11,21.2,1,1,0,3,0,1,1
43,90.77,1,3,3,9,29.7,1,1,1,2,1,0,1
25,64.41,2,5,1,23,17.9,1,1,0,0,0,0,0
38,75.48,1,5,2,10,24.9,1,0,2,2,0,0,1
19,53.26,3,6,3,11,20.1,0,0,1,3,0,0,0
22,49.21,2,4,3,12,18.8,0,1,0,3,0,1,0
43,77.25,1,3,3,11,19.1,0,1,0,1,1,1,1
20,65.82,2,5,2,14,12.0,0,0,0,2,1,0,0
31,82.39,2,6,1,24,7.0,1,1,1,3,1,0,0
43,76.33,1,7,3,20,27.1,0,1,2,3,0,0,0
18,58.06,3,5,2,17,9.4,0,1,0,3,1,0,0
30,80.41,2,5,2,9,13.1,0,0,0,3,1,1,0
18,67.48,3,4,2,15,13.1,0,1,1,2,1,1,0
34,83.46,1,5,4,29,0.4,0,1,1,3,0,1,1
40,71.83,1,6,2,7,19.4,0,1,0,0,0,1,1
45,67.5,1,5,3,13,4.4,0,1,1,3,0,1,1
39,69.46,3,5,2,10,18.1,1,1,1,3,1,0,1
30,77.62,2,7,3,14,13.9,0,0,1,0,0,0,0
24,49.35,3,7,4,16,11.3,0,0,0,2,0,0,0
30,66.05,2,5,2,25,16.6,0,0,0,0,0,1,0
16,73.96,3,6,2,11,3.9,0,1,0,0,0,0,0
34,68.19,1,5,3,18,21.7,0,1,1,0,0,0,0
26,91.41,2,6,3,18,10.8,0,1,0,2,0,1,0
41,55.48,2,4,2,22,20.7,1,0,0,0,1,1,0
31,65.35,2,5,2,20,22.8,0,1,2,3,1,0,0
41,79.93,3,5,2,18,17.8,1,0,2,0,1,1,1
19,60.99,3,5,2,12,16.3,0,1,2,2,0,1,0
32,72.22,1,3,3,13,9.3,1,0,1,2,1,0,1
31,71.16,1,5,2,16,11.9,1,1,0,2,1,1,1
33,46.92,1,5,4,12,24.5,0,1,0,1,0,1,0
22,63.76,3,5,2,10,27.1,0,0,0,2,0,0,0
41,81.31,2,6,2,16,21.0,1,0,1,2,0,1,0
41,70.24,1,2,2,12,15.4,1,0,1,0,0,0,1
43,68.93,1,3,2,4,11.5,1,0,1,0,1,0,1
17,63.85,3,6,3,15,8.9,0,0,2,3,0,0,0
30,51.65,3,4,2,17,19.8,0,0,0,3,1,1,0
36,85.45,2,5,3,28,14.9,1,0,0,3,1,0,1
20,65.44,3,5,3,14,22.1,0,0,0,1,1,1,0
32,70.23,2,6,3,14,24.4,0,0,0,1,0,0,0
34,75.51,3,10,4,21,10.7,0,0,0,3,1,1,0
43,71.9,1,5,3,13,11.4,1,0,0,0,0,1,1
46,70.26,1,3,2,23,11.0,0,0,0,0,1,0,0
35,60.24,3,5,2,17,14.1,1,0,0,0,1,1,1
38,88.62,1,2,3,17,17.8,1,1,0,1,1,1,1
22,54.44,3,3,2,12,20.9,1,0,2,2,1,0,0
17,60.69,3,4,3,23,20.3,0,0,0,2,0,1,0
33,79.67,1,3,3,22,14.1,1,1,1,3,1,1,1
35,61.61,2,4,2,14,18.9,0,0,1,0,1,1,0
48,63.72,2,5,2,15,22.6,1,0,2,3,0,1,0
46,78.92,1,3,3,16,28.4,0,1,1,3,0,0,1
32,76.14,3,7,2,10,15.2,0,1,1,1,0,0,0
41,68.24,1,5,3,12,18.5,0,1,0,0,1,1,1
17,58.77,3,5,3,22,16.1,0,0,2,0,0,1,0
30,52.66,3,4,2,13,25.4,1,1,0,3,1,0,0
32,56.86,3,7,3,18,18.4,1,1,0,3,1,1,0
50,81.45,1,4,3,10,18.2,0,1,1,2,1,0,1
27,52.9,3,8,4,13,23.6,0,0,0,0,1,0,0
37,77.76,1,6,3,13,5.8,0,0,1,2,0,1,1
27,86.51,2,5,2,11,8.8,0,1,1,3,1,0,0
42,68.12,1,4,2,16,16.8,1,0,0,3,0,1,1
41,70.47,1,2,2,9,31.2,1,1,0,2,1,0,1
23,61.28,3,7,3,20,23.0,1,0,0,3,0,0,0
46,65.09,1,4,2,15,12.4,1,1,1,0,1,0,1
35,64.1,2,5,2,20,21.7,0,0,0,0,1,0,0
46,70.02,1,3,2,13,29.1,1,0,0,0,0,0,1
52,61.03,1,5,1,21,1.2,1,1,0,0,0,0,1
30,77.9,2,7,2,23,19.6,0,1,0,2,1,0,0
21,72.25,1,5,3,14,14.2,0,0,0,3,1,1,0
27,75.32,2,5,2,17,2.6,1,0,0,2,1,1,1
31,90.89,1,5,2,12,0.8,0,0,0,0,1,0,0
33,89.67,1,5,2,17,11.8,0,1,0,3,1,0,0
23,61.91,3,8,3,10,23.1,1,1,0,2,1,0,0
22,63.24,2,4,2,16,12.4,0,0,2,0,1,0,0
36,63.66,3,6,2,12,22.8,1,0,0,3,1,0,0
35,72.1,1,4,2,12,25.4,1,1,2,0,1,0,1
29,47.16,3,4,3,20,24.0,0,1,0,0,1,0,0
31,76.43,1,5,4,13,10.7,1,0,0,0,0,1,1
32,67.0,1,4,3,16,22.9,1,0,0,2,0,0,0
46,65.35,3,6,1,13,14.5,1,0,2,3,1,0,1
37,74.84,2,5,2,23,6.5,1,0,2,0,0,1,1
40,71.24,1,4,2,18,23.4,1,1,0,3,0,1,0
23,50.55,3,4,2,11,18.8,0,0,1,2,1,0,0
22,61.78,3,6,2,4,19.9,1,1,2,3,1,1,0
38,78.98,1,4,3,14,14.5,1,1,1,0,0,0,1
40,57.3,2,4,3,16,22.2,1,0,2,0,0,0,0
29,71.49,2,7,3,14,10.2,0,1,2,2,0,1,0
33,85.3,3,5,2,15,24.0,1,0,0,0,0,0,1
40,66.52,2,6,3,11,22.1,0,0,1,0,0,1,0
27,80.09,2,5,2,14,11.1,0,1,0,0,0,1,0
44,55.31,2,3,3,15,27.3,1,1,0,3,0,0,0
19,80.11,2,6,2,14,14.6,0,1,1,0,0,0,0
20,56.21,3,4,4,17,12.3,0,1,0,0,1,0,0
27,99.92,2,6,3,14,40.5,0,1,0,0,0,0,1
30,80.92,1,5,3,14,9.8,0,0,0,2,0,1,0
37,47.81,3,5,3,19,20.5,1,0,0,0,0,0,0
32,113.77,1,3,4,15,26.2,1,0,0,3,0,1,1
44,83.58,1,5,3,19,17.1,0,0,0,2,1,1,1
31,53.49,2,5,4,9,27.5,0,1,0,0,1,1,0
31,46.73,3,4,2,18,32.2,1,0,0,0,1,1,0
39,66.4,3,7,1,15,5.0,1,1,1,3,0,1,1
43,70.34,1,4,3,17,12.6,1,0,0,3,1,1,1
20,75.6,2,6,2,22,6.8,0,1,0,3,1,1,0
32,63.19,3,5,4,18,10.7,0,1,1,2,1,0,0
40,78.89,2,5,2,5,22.6,1,0,0,2,0,1,1
28,66.47,3,6,4,11,17.3,0,1,0,0,0,1,0
44,72.64,1,7,3,25,16.0,1,0,0,0,1,1,0
38,70.67,1,2,3,15,20.2,1,0,2,0,0,0,1
35,49.54,3,5,3,17,19.2,0,0,0,3,1,1,0
39,80.88,2,4,3,15,23.3,1,1,0,2,1,0,1
32,67.41,2,6,3,15,13.7,0,0,1,2,1,0,0
28,90.29,1,5,3,16,13.0,1,0,0,0,1,1,1
30,77.25,2,6,2,16,2.9,1,0,0,3,0,0,1
32,53.38,2,3,3,12,9.7,0,0,1,3,1,1,0
23,74.94,1,6,2,15,16.7,1,0,0,3,0,1,0
41,55.2,2,4,2,11,24.3,1,0,0,3,0,1,0
29,74.92,2,6,3,10,11.8,0,0,0,2,0,1,0
31,54.86,2,5,4,23,18.5,0,1,0,3,1,0,0
32,67.08,2,5,3,23,20.0,0,0,0,0,1,0,0
33,79.45,1,4,3,14,11.5,1,1,1,2,1,0,1
40,71.39,2,4,2,20,14.2,1,1,1,1,1,1,1
29,89.4,1,8,2,15,6.4,0,0,0,0,0,1,0
35,71.23,1,3,2,18,16.1,0,1,0,0,0,1,0
40,71.05,1,4,2,14,12.9,1,0,0,3,0,0,1
20,66.27,2,4,3,11,11.3,0,0,0,2,0,0,0
36,77.86,2,4,2,16,23.7,1,1,0,1,1,1,1
31,83.87,1,4,3,16,14.0,1,0,0,2,0,0,1
37,70.65,1,5,3,14,16.5,1,1,1,0,1,1,0
42,61.41,3,4,2,10,3.0,1,1,0,3,0,0,1
42,75.52,1,4,2,11,8.8,1,0,0,0,0,0,1
42,86.96,2,6,2,15,19.6,0,1,1,0,0,0,1
24,62.39,3,6,2,12,22.4,1,0,0,0,0,0,0
34,46.73,3,5,2,16,27.0,1,0,0,3,1,1,0
31,61.64,3,4,2,18,13.2,0,1,1,3,0,0,0
40,80.25,1,4,3,15,13.7,1,1,0,2,0,0,1
25,55.61,2,4,3,19,13.9,0,1,0,2,1,0,0
30,66.39,2,7,4,17,17.9,1,0,0,3,1,0,0
19,57.68,3,3,3,17,10.7,0,0,0,0,0,1,0
21,71.89,3,6,2,15,21.9,0,1,1,0,1,1,0
26,84.78,1,4,3,19,8.3,1,1,1,0,1,1,1
35,58.35,3,4,3,19,20.1,1,1,1,0,1,1,0
28,73.59,1,5,3,18,15.1,1,0,0,3,0,0,1
36,69.91,1,5,3,12,20.0,0,1,0,3,0,1,0
38,78.11,1,3,2,12,20.5,1,1,1,0,0,1,1
22,81.51,2,5,1,15,16.8,1,1,0,0,1,0,0
37,60.09,3,7,2,15,22.9,1,0,0,1,0,0,0
36,91.8,2,4,3,14,24.8,1,1,1,0,0,1,1
30,69.49,2,4,2,23,16.5,1,0,2,3,1,1,0
20,51.54,3,4,2,17,22.5,0,0,1,0,1,1,0
41,70.01,1,4,2,10,9.5,1,1,0,1,0,1,1
33,75.18,2,5,2,17,15.5,1,1,2,0,0,1,0
13,62.7,3,6,3,12,10.3,0,0,1,0,0,0,0
29,66.94,3,6,2,13,13.2,1,0,0,3,1,1,0
23,76.78,2,6,3,16,11.6,0,0,1,0,1,1,0
46,83.3,1,4,2,13,25.1,0,0,0,2,1,1,1
51,60.44,1,7,3,17,31.9,1,0,0,2,1,0,0
30,70.15,1,4,3,20,14.4,0,1,0,0,1,0,0
38,80.63,3,7,2,16,15.6,0,1,0,2,1,0,1
28,68.33,2,5,1,15,19.4,0,0,0,0,0,1,0
38,95.45,1,1,4,17,34.7,1,0,0,2,0,0,1
32,67.65,1,4,2,24,12.6,1,0,0,2,0,1,1
33,72.76,2,6,2,18,23.5,1,1,1,3,0,1,0
41,77.33,1,3,2,18,29.6,1,0,0,2,1,0,1
21,66.67,1,5,3,8,12.8,0,0,0,1,1,1,0
22,62.39,2,4,3,8,11.0,0,1,2,0,0,0,0
33,57.26,3,5,2,20,23.8,1,1,1,0,0,0,0
44,75.05,1,5,3,16,9.1,0,0,0,0,0,0,1
27,59.28,3,6,2,12,16.4,0,0,0,0,1,1,0
27,82.28,2,6,2,19,12.0,0,0,0,3,1,1,0
19,61.12,3,6,3,15,13.5,0,1,0,3,0,1,0
36,58.61,1,5,3,21,25.1,1,1,1,2,0,1,0
41,71.48,1,6,2,10,24.1,1,1,0,0,0,1,0
23,64.24,3,5,1,14,16.6,0,0,0,0,1,1,0
26,70.3,2,6,3,10,12.0,0,1,1,3,1,0,0
49,91.18,1,3,3,11,45.9,0,0,0,0,0,1,1
36,85.92,2,5,2,12,16.5,1,0,0,0,1,0,1
35,58.96,2,4,2,23,14.5,0,1,0,1,0,1,0
39,55.88,2,7,1,19,1.1,1,1,1,0,1,1,1
39,57.45,1,4,4,18,16.6,0,0,0,0,0,0,0
31,84.65,2,7,2,14,11.8,0,1,1,3,1,1,0
20,84.26,3,7,2,18,-0.4,0,0,0,1,1,1,0
41,54.45,2,5,3,5,26.3,1,1,0,0,1,1,0
35,46.03,3,2,3,19,25.7,0,1,0,0,0,1,0
33,79.88,2,6,3,13,20.1,1,1,0,0,1,0,1
31,66.53,2,7,3,10,19.1,0,0,2,1,1,1,0
19,62.68,3,5,2,11,16.9,0,1,0,2,0,1,0
28,83.78,2,6,3,12,14.5,0,1,0,3,1,1,1
30,56.91,2,4,2,14,18.2,0,1,1,3,1,0,0
13,73.58,3,7,3,12,2.7,0,1,2,3,0,1,0
41,60.74,1,4,1,15,12.8,1,1,0,0,0,0,1
33,65.56,1,6,3,14,12.1,0,1,2,3,1,1,0
30,65.2,3,5,2,18,13.2,0,0,2,2,0,0,0
39,75.44,2,4,3,14,17.5,1,0,1,3,1,1,1
29,39.19,3,5,2,12,23.1,1,1,1,0,0,0,0
33,70.56,2,7,2,14,14.3,1,1,0,3,0,0,0
16,61.72,3,6,2,16,18.0,0,0,1,0,1,1,0
18,66.95,3,5,2,14,11.5,0,0,0,0,1,1,0
27,40.64,3,6,3,10,23.2,1,0,0,0,1,1,0
36,70.16,2,6,2,17,25.2,1,0,0,0,1,0,0
27,74.36,3,7,2,18,3.7,1,0,1,3,1,0,1
38,67.66,2,6,2,12,18.9,1,0,0,0,1,1,0
32,62.52,2,7,3,19,19.1,0,0,0,3,0,1,0
29,84.17,2,4,3,16,24.4,1,0,0,3,0,1,1
44,75.72,1,4,2,17,22.2,1,0,0,3,0,0,1
27,77.17,1,4,3,13,15.6,0,1,1,2,0,1,0
38,83.84,1,2,3,19,16.2,1,1,2,0,0,0,1
24,77.76,1,5,3,21,11.2,0,1,0,0,1,1,0
29,88.85,1,6,3,11,4.8,0,0,0,0,0,1,0
40,71.25,2,4,1,15,11.6,0,0,1,1,0,1,0
31,44.01,3,4,2,10,23.5,1,0,0,2,0,1,0
33,46.28,3,7,4,21,29.7,1,0,0,0,1,1,0
36,81.0,2,5,3,14,13.6,1,0,1,0,0,1,1
27,76.71,2,6,3,18,11.3,0,0,0,3,1,0,0
34,60.59,3,6,2,18,17.7,0,1,0,1,1,0,0
31,64.33,2,4,2,13,22.7,1,0,0,3,0,0,0
41,91.6,1,3,2,14,25.9,1,1,0,3,0,1,1
39,83.91,2,3,2,16,25.9,1,1,1,3,0,0,1
22,53.75,3,3,2,20,21.3,1,1,2,3,1,0,0
38,48.05,3,5,3,15,24.6,1,1,0,3,0,0,0
35,111.32,1,3,3,9,28.5,0,1,0,2,1,0,1
33,61.1,2,5,4,15,9.8,0,0,0,3,0,0,0
25,44.87,3,7,3,13,25.1,1,0,1,0,0,1,0
42,63.86,3,6,2,15,17.1,1,0,1,1,0,0,0
44,87.21,2,5,2,22,22.1,1,1,0,0,0,0,1
27,69.72,3,8,3,17,13.7,0,0,0,0,1,0,0
25,50.33,3,6,3,11,10.7,0,0,0,0,1,0,0
38,80.12,1,3,3,14,23.3,1,0,1,0,0,1,1
18,64.13,3,6,3,15,8.3,0,0,2,0,0,1,0
24,80.24,3,7,2,19,12.7,0,1,0,2,1,0,0
29,62.99,3,6,3,21,23.0,0,0,1,2,1,0,0
35,48.21,2,4,3,18,27.7,1,0,1,3,1,1,0
40,80.43,2,4,3,14,33.4,1,1,0,1,0,1,1
36,75.17,2,4,2,15,11.3,1,1,1,0,1,0,1
42,65.35,1,3,3,16,9.8,1,1,1,3,1,0,1
24,71.08,3,7,2,14,20.2,1,1,0,1,0,0,0
37,79.71,1,4,2,16,14.6,1,1,0,3,0,0,1
30,91.82,2,5,3,21,22.1,1,1,2,3,0,0,1
38,86.08,1,3,3,14,19.2,1,1,1,2,1,0,1
42,57.53,3,6,3,18,20.0,0,1,1,0,1,0,0
34,84.91,2,5,3,20,20.2,1,0,0,3,1,0,1
32,61.88,2,6,2,15,22.7,1,1,1,3,1,1,0
33,63.28,2,3,1,20,13.3,0,1,1,2,1,1,0
21,81.64,3,8,3,17,6.8,0,1,0,0,1,1,0
32,95.05,1,3,3,10,26.2,1,1,0,3,1,1,1
41,77.12,2,5,3,13,20.5,1,1,1,3,1,0,1
38,52.94,3,4,2,17,19.9,1,0,0,3,1,1,0
24,44.41,3,6,3,16,22.0,1,0,0,0,0,0,0
38,72.38,2,3,2,16,3.4,1,0,0,1,0,0,1
30,86.55,1,5,3,12,25.3,1,0,1,1,0,0,1
26,59.45,3,5,2,17,17.7,1,1,0,1,0,0,0
32,41.64,2,3,3,17,24.8,1,1,0,0,1,1,0
31,51.66,3,4,2,11,17.6,1,0,1,3,1,0,0
32,65.57,3,6,3,11,15.4,1,1,0,3,1,0,0
29,77.31,2,5,3,16,9.5,1,0,2,1,1,1,1
39,57.05,1,5,3,16,19.6,1,1,1,3,1,0,0
21,66.93,2,5,2,11,15.0,0,0,2,3,1,0,0
28,94.84,1,5,4,18,17.1,0,1,1,0,0,1,1
38,93.42,1,4,4,16,15.2,0,1,1,3,1,1,1
15,73.42,3,6,3,16,8.1,0,0,1,1,0,1,0
35,72.49,2,5,2,10,6.8,1,1,2,0,1,0,1
18,59.39,3,4,3,21,9.4,0,1,0,3,1,1,0
23,46.12,3,5,4,11,21.8,0,1,0,0,1,1,0
29,62.84,2,6,3,12,24.3,1,1,0,2,0,0,0
23,56.34,1,3,3,18,14.8,0,0,0,0,1,1,0
28,88.87,1,7,2,16,17.1,0,1,2,0,1,1,0
21,80.36,2,6,3,18,5.2,0,0,0,3,1,1,0
30,82.29,3,4,3,9,27.5,1,1,0,3,1,0,1
28,77.65,1,5,4,15,26.5,1,1,0,3,1,1,1
38,71.51,1,4,1,22,17.8,1,1,0,3,0,1,0
29,54.99,2,5,3,12,33.8,1,1,1,0,0,1,0
39,77.44,3,8,2,16,27.4,1,1,1,2,0,1,0
30,70.87,2,6,3,24,11.5,0,1,0,3,1,1,0
37,71.35,1,4,2,11,13.0,1,0,0,3,1,1,1
38,71.59,2,4,2,11,26.3,1,1,1,0,0,1,1
23,68.24,2,7,3,22,9.3,0,1,0,2,0,0,0
23,63.63,2,4,2,22,13.7,0,1,0,0,0,0,0
29,83.84,2,6,3,18,5.6,0,1,0,0,1,0,0
41,76.81,2,6,2,12,22.3,1,1,1,0,0,0,1
37,81.01,2,6,1,15,18.5,1,1,0,0,0,0,0
26,57.5,3,5,2,21,20.0,1,0,0,3,1,1,0
33,72.5,2,6,2,14,13.3,0,0,0,3,0,0,0
30,55.39,3,6,3,19,15.4,0,1,1,0,1,1,0
32,90.04,3,6,3,15,25.0,1,0,0,0,1,1,1
31,70.83,1,5,3,15,12.8,1,1,2,0,0,0,1
25,81.69,1,5,3,17,17.1,0,0,0,0,0,0,0
23,63.55,2,5,3,17,12.1,0,0,1,0,1,1,0
31,81.52,2,7,3,12,10.6,1,1,1,1,0,0,0
36,80.25,1,4,2,21,14.4,1,0,0,0,0,1,1
42,84.36,1,6,3,20,22.3,1,0,0,1,1,1,0
20,81.86,2,5,2,17,6.7,0,1,1,0,1,1,0
31,96.49,1,4,4,20,15.6,1,0,0,1,0,1,1
25,66.73,3,5,2,10,19.4,0,0,0,0,1,1,0
31,81.36,1,3,3,16,2.5,1,1,0,1,0,1,1
